"id","title","speech_title","speaker_name"
"IStsehNAOL8","The Secret to a Happy Life — Lessons from 8 Decades of Research | Robert Waldinger | TED","The Secret to a Happy Life — Lessons from 8 Decades of Research","Robert Waldinger"
"9mfir8F2lpE","The Board Game Getting Kids Excited About School | Joel Baraka | TED","The Board Game Getting Kids Excited About School","Joel Baraka"
"tHbUxeDEjUQ","How Millennials and Gen Z Can Invest in a Better Future | Miguel Goncalves | TED","How Millennials and Gen Z Can Invest in a Better Future","Miguel Goncalves"
"NA_u3MVvvWM","5 Hiring Tips Every Company (and Job Seeker) Should Know | Nithya Vaduganathan | TED","5 Hiring Tips Every Company (and Job Seeker) Should Know","Nithya Vaduganathan"
"kqItMybTKTo","How to Do Laundry When You're Depressed | KC Davis | TED","How to Do Laundry When You're Depressed","KC Davis"
"GRKIRE45JO0","Can the Metaverse Bring Us Closer to Wildlife? | Gautam Shah | TED","Can the Metaverse Bring Us Closer to Wildlife?","Gautam Shah"
"_IfgmR5imNs","Are Insect Brains the Secret to Great AI? | Frances S. Chance | TED","Are Insect Brains the Secret to Great AI?","Frances S. Chance"
"F9XB29JfKYo","Are Video Calls the Best We Can Do in the Age of the Metaverse? | Josephine Eyre | TED","Are Video Calls the Best We Can Do in the Age of the Metaverse?","Josephine Eyre"
"61yMFm40lIA","How Play Helps a Kid’s Brain Grow | Jesse Ilhardt | TED","How Play Helps a Kid’s Brain Grow","Jesse Ilhardt"
"8WmrJTyWydw","How Indigenous Guardians Protect the Planet and Humanity | Valérie Courtois | TED","How Indigenous Guardians Protect the Planet and Humanity","Valérie Courtois"
"iYd60LgRCro","A Creative Approach to Community Climate Action | Xavier Cortada | TED","A Creative Approach to Community Climate Action","Xavier Cortada"
"UGdLvGbpehQ","How Great Leaders Take On Uncertainty | Anjali Sud and Stephanie Mehta | TED","How Great Leaders Take On Uncertainty","Anjali Sud and Stephanie Mehta"
"g7LICU-v_TM","A Disability-Inclusive Future of Work | Ryan Gersava | TED","A Disability-Inclusive Future of Work","Ryan Gersava"
"IGIT-vENgaQ","The Billion-Dollar Pollution Solution Humanity Needs Right Now | Stacy Kauk | TED","The Billion-Dollar Pollution Solution Humanity Needs Right Now","Stacy Kauk"
"LDVyOnf0t9M","How to Tap into Your Awareness | Yongey Mingyur Rinpoche | TED","How to Tap into Your Awareness","Yongey Mingyur Rinpoche"
"3x3X6HELtog","Why People Love Watching Sports | Kate Fagan | TED","Why People Love Watching Sports","Kate Fagan"
"SixQ6cTzYaI","3 Steps to Build Peace and Create Meaningful Change | Georgette Bennet | TED","3 Steps to Build Peace and Create Meaningful Change","Georgette Bennet"
"T7WcwE0q8UQ","A Colorful Case for Outside-the-Box Thinking on Identity | Olivia Vinckier | TED","A Colorful Case for Outside-the-Box Thinking on Identity","Olivia Vinckier"
"hVyYilPj5Sc","The Wheat Field That Could Change the World | Guntur V. Subbarao | TED","The Wheat Field That Could Change the World","Guntur V. Subbarao"
"eucTQXM4ymE","How Can We Escape Soaring Energy Bills? Stop Using Fossil Fuels | Tessa Khan | TED","How Can We Escape Soaring Energy Bills? Stop Using Fossil Fuels","Tessa Khan"
"rwigf0C6zxM","What a Living Whale Is Worth -- and Why the Economy Should Protect Nature | Ralph Chami | TED","What a Living Whale Is Worth -- and Why the Economy Should Protect Nature","Ralph Chami"
"pVZzgzYZdCA","Demystifying the Wild World of Crypto | Laura Shin | TED","Demystifying the Wild World of Crypto","Laura Shin"
"RqAOrr_FPxo","Why You Feel Anxious Socializing (and What to Do about It) | Fallon Goodman | TED","Why You Feel Anxious Socializing (and What to Do about It)","Fallon Goodman"
"tZ7ySrDVqOs","Great Leadership Is a Network, Not a Hierarchy | Gitte Frederiksen | TED","Great Leadership Is a Network, Not a Hierarchy","Gitte Frederiksen"
"uh3aQ_vCs6U","Why Joy Is a State of Mind | Angélique Kidjo | TED","Why Joy Is a State of Mind","Angélique Kidjo"
"lRx8ocxmmDI","How Global Virtual Communities Can Help Kids Achieve Their Dreams | Matthew Garcia | TED","How Global Virtual Communities Can Help Kids Achieve Their Dreams","Matthew Garcia"
"5mMtAWzcWGE","""Kilamu"" / ""Ama Aje"" / ""Jam Now, Simmer Down"" / ""Dracula"" | Blinky Bill | TED","""Kilamu"" / ""Ama Aje"" / ""Jam Now, Simmer Down"" / ""Dracula""","Blinky Bill"
"Cz9w0sx-_rs","Meet the Mysterious “Monsters” of the Deep Sea | Alan Jamieson | TED","Meet the Mysterious “Monsters” of the Deep Sea","Alan Jamieson"
"gjWPw3NHbvA","How to Tackle the Stigma of Living with HIV | Gareth Thomas | TED","How to Tackle the Stigma of Living with HIV","Gareth Thomas"
"80LCWXh4FfM","AI-Generated Creatures That Stretch the Boundaries of Imagination | Sofia Crespo | TED","AI-Generated Creatures That Stretch the Boundaries of Imagination","Sofia Crespo"
"hBJo_qRDnw8","The Fight for Freedom in Iran and Ukraine | Christiane Amanpour | TED","The Fight for Freedom in Iran and Ukraine","Christiane Amanpour"
"anE2XRcnNk0","The Global Opportunity to Accelerate Africa's Sustainable Future | Vanessa Nakate | TED","The Global Opportunity to Accelerate Africa's Sustainable Future","Vanessa Nakate"
"xD1ElRT-Sb0","The Future of Machines That Move like Animals | Robert Katzschmann | TED","The Future of Machines That Move like Animals","Robert Katzschmann"
"w19lJjCASJg","An Indigenous Perspective on Humanity’s Survival on Earth | Jupta Itoewaki | TED","An Indigenous Perspective on Humanity’s Survival on Earth","Jupta Itoewaki"
"MTW3U-O1nZo","How Vaccines Are Developed – and Why They’re Safe | Body Stuff with Dr. Jen Gunter | TED","How Vaccines Are Developed – and Why They’re Safe","Body Stuff with Dr. Jen Gunter"
"Cxm1JbeG2tI","A Moral Blueprint for Reimagining Capitalism | Manish Bhardwaj | TED","A Moral Blueprint for Reimagining Capitalism","Manish Bhardwaj"
"H6DnmEFrIos","The Truth About Faking Orgasms | Karen Gurney | TED","The Truth About Faking Orgasms","Karen Gurney"
"ucEZ9KOqOqs","4 Ways To Design a Disability-Friendly Future | Meghan Hussey | TED","4 Ways To Design a Disability-Friendly Future","Meghan Hussey"
"eDPmvxtbC10","The Danger and Devotion of Fighting for Women in Afghanistan | Tamana Ayazi | TED","The Danger and Devotion of Fighting for Women in Afghanistan","Tamana Ayazi"
